Column,P-Value
Blast_Positive_Percent_Pair_2,1.0323357612745452e-07
Interface_Difference_Turn_Count_Pair_1,1.432760136396985e-07
Interface_Average_Difference_Polarizability_Scores_Pair_2,1.446888895510353e-07
Global_Average_Sum_Blosum_Matching_Scores_Pair_2,2.0124361184394884e-07
Global_Average_Sum_Blosum_Positive_Scores_Pair_2,2.0694891836886353e-07
Interface_Average_Difference_Helix_Percent_Pair_2,2.1049206564852562e-07
Interface_Difference_Turn_Count_Joint,2.3119299943072056e-07
Global_Non-Matching-Gap_Count_Pair_2,2.4391003660674854e-07
Global_Sum_Blosum_Positive_Scores_Pair_1,2.996517247448015e-07
Global_Non-Matching-Gap_Percent_Pair_2,4.5141822945452474e-07
Blast_Positive_Count_Pair_1,4.876734154741415e-07
Interface_Difference_Helix_Count_Pair_1,5.298580440220993e-07
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_2,6.031840770033469e-07
Global_Sum_Blosum_Matching_Scores_Pair_1,6.062799752149501e-07
Global_Matching_Count_Pair_1,6.954612104671671e-07
Blast_Start_B_Joint,7.159767757848919e-07
Domain_Sum_Blosum_Similar_Scores_Joint,7.332182501594703e-07
Interface_Average_Difference_Polarity_Scores_Pair_2,7.603529735063863e-07
Global_Non-Matching_Percent_Joint,7.723279862922344e-07
Blast_Positive_Percent_Joint,9.27502240556798e-07
Global_Non-Matching_Percent_Pair_1,9.60119545532413e-07
Domain_Sum_Blosum_Similar_Scores_Pair_2,1.3131679473591365e-06
Interface_Average_Difference_Sheet_Percent_Joint,1.5024207330180428e-06
Global_Average_Sum_Blosum_Positive_Scores_Joint,1.5495480633028788e-06
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,1.6131270077008445e-06
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,1.6278668447220949e-06
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,1.9075619876084975e-06
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,2.1923989659155125e-06
Domain_Sum_Blosum_Similar_Scores_Pair_1,2.3819953555258486e-06
Global_Matching_Percent_Joint,3.5420372419231355e-06
Global_Sum_Blosum_Similar_Scores_Joint,4.056116314894587e-06
Interface_Residues_Length_Joint,4.775759388831018e-06
Interface_Sum_Blosum_Non-Similar_Scores_Pair_1,5.20316203001558e-06
Fasta_Length_B_Pair_2,5.362440595153093e-06
Interface_Average_Sum_Blosum_Similar_Scores_Pair_2,6.31077858655037e-06
Interface_Non-Matching-Gap_Percent_Pair_2,6.689973003796946e-06
Global_Sum_Blosum_Similar_Scores_Pair_1,7.107241998609931e-06
Global_Sum_Blosum_Positive_Scores_Joint,7.643454461659973e-06
Domain_Matching_Count_Pair_1,8.249435670871182e-06
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,1.0663707473092472e-05
Domain_Sum_Blosum_Matching_Scores_Pair_1,1.0973135673847111e-05
Domain_Sum_Blosum_Positive_Scores_Pair_1,1.3471482161964142e-05
Blast_Identical_Count_Pair_1,1.3560477743692699e-05
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,1.9078657542935288e-05
Global_Sum_Blosum_Matching_Scores_Joint,1.9313061900193236e-05
Global_Average_Sum_Blosum_Matching_Scores_Joint,2.2447014969762203e-05
Interface_Average_Difference_Flexibility_Scores_Pair_2,2.497491315076649e-05
Global_Length_Pair_2,2.7717530542598842e-05
Interface_Difference_Helix_Count_Joint,2.7846733391624198e-05
Interface_Difference_Volume_Buried_Residue_Scores_Pair_1,2.9420502770832816e-05
Domain_Sum_Blosum_Positive_Scores_Joint,3.708985848872523e-05
Interface_Average_Difference_Turn_Percent_Joint,3.916943942553706e-05
Domain_Non-Matching_Percent_Joint,4.052786820401118e-05
Domain_Matching_Count_Joint,4.10549545383054e-05
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,4.819022097392224e-05
Interface_Difference_Hydrophobicity_Scores_Joint,5.105097965891964e-05
Blast_Identical_Percent_Joint,5.567057570889855e-05
Interface_Average_Sum_Blosum_Similar_Scores_Pair_1,5.748795394033868e-05
Domain_Sum_Blosum_Matching_Scores_Joint,5.86836756566781e-05
Global_Matching_Count_Joint,6.053134394485844e-05
Blast_Coverage_B_Joint,6.465991860251631e-05
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,7.509764047330009e-05
Global_Matching_Percent_Pair_1,8.729617766384933e-05
Blast_Positive_Count_Joint,8.845206682126148e-05
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,9.537610616279278e-05
Interface_Average_Difference_Sheet_Percent_Pair_1,0.00010931064529077196
Interface_Non-Matching-Gap_Count_Pair_2,0.00011291127831119575
Global_Non-Matching-Gap_Percent_Pair_1,0.00014803659415896773
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,0.0001520015532397976
Special-Sites_Non-Matching_Count_Joint,0.00015615364000268452
Blast_Positive_Percent_Pair_1,0.0001890127214046923
Interface_Difference_Polarity_Scores_Pair_1,0.00019592598507825828
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,0.00020493206651785314
Global_Non-Matching-Gap_Percent_Joint,0.0002336241002101869
Interface_Difference_Volume_Buried_Residue_Scores_Joint,0.00023887994315332112
Interface_Difference_Volume_Side_Chains_Scores_Pair_2,0.0002681311388318613
Blast_Gap_Pair_1,0.00027114212867616444
Interface_Residues_Length_Pair_2,0.0003446175816916052
Interface_Sum_Blosum_Non-Similar_Scores_Joint,0.0003476464068843175
Blast_Gap_Pair_2,0.00037344181714225183
Blast_End_B_Pair_2,0.00043565839403841535
Interface_Difference_Hydrophobicity_Scores_Pair_1,0.00043964050014258526
Special-Sites_Non-Matching_Percent_Joint,0.0004510547295110671
Interface_Average_Difference_Hydrophobicity_Scores_Pair_2,0.0006210786939657701
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_2,0.000648090441400005
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,0.000664453353362581
Blast_Gap_Joint,0.0007145198788212194
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.0007201837395597189
Interface_Difference_Flexibility_Scores_Pair_2,0.0007495612316719035
Global_Score_Pair_2,0.0007665888660518622
Interface_Difference_Polarizability_Scores_Pair_2,0.0009997203684172452
Interface_Difference_Polarity_Scores_Joint,0.0010129545643443722
Interface_Average_Difference_Turn_Percent_Pair_1,0.0010748889821859924
Blast_E-Value_Pair_2,0.0011110603920315946
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,0.00111979842989772
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,0.0011520424861764752
Special-Sites_Sum_Blosum_Similar_Scores_Joint,0.0011607714691206797
Global_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.001218195299991125
Interface_Difference_Sheet_Count_Pair_2,0.0013532441239555487
Interface_Difference_Molecular_Weight_Scores_Pair_2,0.0015104983123216233
Special-Sites_Non-Matching_Percent_Pair_2,0.0016145859670662422
Interface_Non-Matching_Percent_Joint,0.0016408615390655975
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,0.0020793727515502425
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,0.002136706272238759
Special-Sites_Average_Sum_Blosum_Similar_Scores_Joint,0.002151252166548892
