Column,P-Value
Blast_Identical_Percent_Joint,3.4508984046482833e-72
Interface_Average_Difference_Flexibility_Scores_Joint,6.85785879208091e-72
Special-Sites_Non-Matching_Count_Joint,7.64427121744332e-72
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,1.3484075313478385e-71
Global_Matching_Percent_Pair_1,3.658722030600969e-71
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,4.391081647658643e-71
Special-Sites_Matching_Percent_Pair_1,4.0228686900337886e-70
Special-Sites_Average_Sum_Blosum_Positive_Scores_Joint,4.62084728547958e-70
Special-Sites_Length_Pair_2,8.44158336862048e-70
Interface_Average_Difference_Polarity_Scores_Pair_2,8.7891842660404e-70
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,1.3057240423436591e-68
Domain_Non-Matching-Gap_Count_Joint,2.1637206602110835e-68
Interface_Average_Difference_Molecular_Weight_Scores_Pair_2,2.1721381155149556e-68
Special-Sites_Average_Sum_Blosum_Matching_Scores_Joint,5.5524506372902884e-68
Domain_Non-Matching-Gap_Count_Pair_1,9.750674975512124e-68
Global_Sum_Blosum_Non-Similar_Scores_Joint,1.2704987656562928e-67
Blast_Positive_Percent_Joint,1.9791535081576666e-67
Interface_Average_Difference_Polarizability_Scores_Pair_2,2.468556351185483e-67
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,2.764462959169307e-67
Interface_Non-Matching_Percent_Joint,2.8947985453832662e-67
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,1.0084919403061615e-66
Global_Matching_Percent_Joint,2.8650061581434583e-66
Special-Sites_Matching_Percent_Joint,1.12121970669089e-65
Interface_Non-Matching-Gap_Percent_Pair_1,6.200328437736718e-65
Interface_Average_Difference_Sheet_Percent_Joint,7.811235617521255e-65
Blast_Gap_Joint,8.301796788707421e-64
Domain_Non-Matching-Gap_Percent_Joint,1.5794202918992027e-63
Special-Sites_Non-Matching_Percent_Joint,2.800877737356718e-63
Interface_Average_Difference_Sheet_Percent_Pair_1,4.160810179914758e-63
