Column,P-Value
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,4.2999870895598303e-35
Blast_Positive_Count_Pair_2,2.012681269337885e-34
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,5.099132340621497e-34
Special-Sites_Matching_Count_Pair_2,5.383988886839749e-34
Interface_Non-Matching-Gap_Count_Pair_2,6.761846766650312e-34
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_1,4.467413721532781e-33
Interface_Non-Matching-Gap_Percent_Joint,6.390624413436919e-33
Interface_Difference_Flexibility_Scores_Joint,7.644219833529222e-33
Interface_Average_Sum_Blosum_Matching_Scores_Pair_1,1.2062498806300881e-32
Interface_Average_Sum_Blosum_Non-Similar_Scores_Joint,1.7488408748370357e-32
Interface_Non-Matching-Gap_Count_Joint,1.8850711279216093e-32
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,2.1948336963159164e-32
Interface_Average_Sum_Blosum_Matching_Scores_Joint,5.241518347230999e-32
Interface_Matching_Percent_Pair_1,7.428330896431399e-32
Blast_Identical_Count_Pair_2,1.333247814178265e-31
Interface_Matching_Percent_Joint,2.023722451867651e-31
Global_Length_Joint,3.2479272582543397e-31
Special-Sites_Non-Matching_Count_Pair_1,3.49055303206293e-31
Special-Sites_Sum_Blosum_Matching_Scores_Pair_2,5.207438713064953e-31
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_1,4.565452149923012e-30
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,6.813192445478366e-30
Special-Sites_Sum_Blosum_Positive_Scores_Pair_2,1.7227911978056415e-29
Interface_Difference_Polarizability_Scores_Pair_1,2.5561986280818155e-29
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,6.106505441819602e-29
Global_Non-Matching_Count_Pair_1,7.406969808328686e-29
Special-Sites_Non-Matching_Percent_Joint,1.360810551738044e-28
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,1.7805276803056239e-28
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,2.2800396502501637e-28
Domain_Non-Matching-Gap_Percent_Pair_2,3.378681537268427e-28
Blast_End_A_Pair_2,4.197920051317198e-28
Domain_Sum_Blosum_Non-Similar_Scores_Joint,7.1197909672969985e-28
Interface_Difference_Flexibility_Scores_Pair_1,7.319983348587999e-28
Interface_Non-Matching-Gap_Percent_Pair_2,9.5774066896301e-28
Interface_Difference_Polarizability_Scores_Joint,1.3055396398207935e-27
Interface_Average_Difference_Flexibility_Scores_Pair_2,2.458463215952869e-27
Special-Sites_Non-Matching_Count_Joint,2.5037155897031874e-27
Interface_Difference_Flexibility_Scores_Pair_2,3.3427549226347356e-27
Interface_Difference_Molecular_Weight_Scores_Pair_1,6.3739200826182735e-27
Interface_Difference_Total_Accessible_Surface_Area_Scores_Joint,1.0767131228703448e-26
Interface_Average_Difference_Turn_Percent_Joint,2.063112506933138e-26
Blast_E-Value_Pair_2,2.961081060772227e-26
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_1,3.312170022294333e-26
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_2,3.419289090783097e-26
Blast_Bitscore_Pair_2,5.882802306379824e-26
Interface_Difference_Molecular_Weight_Scores_Joint,1.519415479418174e-25
Interface_Average_Difference_Molecular_Weight_Scores_Pair_2,1.633909027928771e-25
Interface_Sum_Blosum_Matching_Scores_Pair_1,2.3915181102002476e-25
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_2,5.018137281947273e-25
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,6.0716750796275365e-25
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_2,6.460404928401177e-25
Special-Sites_Matching_Percent_Pair_2,6.601717040894432e-25
Interface_Average_Difference_Polarizability_Scores_Pair_2,1.4645377872324636e-24
Interface_Sum_Blosum_Positive_Scores_Pair_1,1.5844504623153468e-24
Blast_Start_A_Pair_2,9.020659345150599e-24
Global_Matching_Count_Pair_2,1.0304562413701788e-23
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,1.0424086103048532e-23
Interface_Matching_Count_Pair_1,1.4469574122307415e-23
Fasta_Length_B_Pair_1,1.9588322202393722e-23
Domain_Average_Sum_Blosum_Matching_Scores_Pair_2,2.1939573274174228e-23
Global_Sum_Blosum_Positive_Scores_Pair_2,2.4253960580326713e-23
Domain_Average_Sum_Blosum_Positive_Scores_Pair_2,2.547967371143831e-23
Interface_Average_Difference_Helix_Percent_Pair_2,1.4184592330047427e-22
Interface_Difference_Volume_Buried_Residue_Scores_Pair_1,1.6784177596431864e-22
Interface_Average_Difference_Turn_Percent_Pair_2,2.815577051519271e-22
Global_Sum_Blosum_Matching_Scores_Pair_2,8.398772864557755e-22
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_2,9.277850093079132e-22
Interface_Difference_Polarity_Scores_Pair_1,2.5044396075847474e-21
Global_Non-Matching_Count_Joint,7.283368618166522e-21
Interface_Difference_Volume_Side_Chains_Scores_Joint,7.763899944865362e-21
Interface_Difference_Polarizability_Scores_Pair_2,8.064242714485433e-21
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,8.895401618426588e-21
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,9.152753614246602e-21
Interface_Difference_Volume_Side_Chains_Scores_Pair_1,9.656710097134381e-21
Interface_Difference_Volume_Side_Chains_Scores_Pair_2,9.739901210688965e-21
Interface_Average_Sum_Blosum_Positive_Scores_Pair_2,9.791510071642855e-21
Interface_Difference_Molecular_Weight_Scores_Pair_2,1.0214785241950963e-20
Global_Matching_Count_Joint,1.1722013165070234e-20
Global_Non-Matching_Percent_Joint,2.0118849746309888e-20
Interface_Average_Difference_Polarity_Scores_Pair_2,2.2667044212450374e-20
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,2.5157495108600465e-20
Special-Sites_Sum_Blosum_Non-Similar_Scores_Joint,2.5911780332961305e-20
Interface_Average_Difference_Helix_Percent_Joint,6.708211888005913e-20
Fasta_Length_B_Joint,1.0280016882952246e-19
Special-Sites_Average_Sum_Blosum_Matching_Scores_Joint,1.1522218717185074e-19
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,1.5242866253235274e-19
Interface_Difference_Volume_Buried_Residue_Scores_Joint,1.9100057762776335e-19
Blast_Alignment_Length_Pair_2,2.8144403404792177e-19
Domain_Non-Matching_Percent_Joint,4.2698295750348785e-19
Global_Sum_Blosum_Matching_Scores_Joint,6.464858581141709e-19
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,8.903360734837736e-19
Interface_Average_Difference_Turn_Percent_Pair_1,1.166860156547506e-18
Interface_Average_Sum_Blosum_Matching_Scores_Pair_2,2.376999681532995e-18
Special-Sites_Matching_Percent_Joint,2.532331230892132e-18
Interface_Difference_Polarity_Scores_Joint,2.97334075870561e-18
Global_Sum_Blosum_Positive_Scores_Joint,5.872543339251681e-18
Special-Sites_Average_Sum_Blosum_Positive_Scores_Joint,1.417894847250587e-17
Interface_Sum_Blosum_Matching_Scores_Joint,1.9727728865244152e-17
Interface_Average_Difference_Helix_Percent_Pair_1,2.778361119807721e-17
Domain_Sum_Blosum_Non-Similar_Scores_Pair_2,3.8512159832242185e-17
