Column,P-Value
Blast_Coverage_A_Joint,2.2348839398371557e-262
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,2.3268248183667146e-262
Domain_Matching_Percent_Pair_2,4.353975749975433e-262
Interface_Average_Difference_Flexibility_Scores_Pair_1,4.273476009312878e-258
Domain_Average_Sum_Blosum_Matching_Scores_Pair_2,1.5255341811522806e-257
Blast_Coverage_B_Pair_1,2.5590272885685914e-256
Interface_Average_Sum_Blosum_Matching_Scores_Pair_2,8.039273753888369e-253
Global_Non-Matching-Gap_Count_Pair_2,1.1577002369400173e-251
Interface_Average_Sum_Blosum_Positive_Scores_Pair_2,3.866019905864313e-249
Global_Sum_Blosum_Non-Similar_Scores_Pair_1,4.4143355242838157e-247
Global_Score_Joint,4.66385044770546e-246
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_1,1.3522037523146912e-244
Global_Matching_Percent_Pair_2,1.0640050557460589e-242
Blast_E-Value_Pair_1,1.342376411079452e-241
Blast_Coverage_A_Pair_1,5.614617368032798e-241
Domain_Average_Sum_Blosum_Positive_Scores_Pair_1,3.10006922437313e-240
Global_Non-Matching_Percent_Pair_2,1.5187218507261026e-238
Interface_Average_Difference_Molecular_Weight_Scores_Pair_2,1.792012815624383e-236
Domain_Matching_Percent_Pair_1,1.9261317230475455e-235
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,3.845598945670677e-235
Domain_Non-Matching_Percent_Pair_2,6.140942562189873e-231
Blast_Gap_Pair_1,2.2070674070461293e-228
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_2,5.63217676750408e-228
Global_Average_Sum_Blosum_Positive_Scores_Pair_2,3.5054010652281897e-227
Interface_Non-Matching-Gap_Percent_Pair_1,1.0672593946400146e-226
Interface_Difference_Flexibility_Scores_Joint,2.0849434598925068e-226
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,2.597174124118902e-226
Blast_Bitscore_Pair_1,5.013044427442374e-226
Blast_Bitscore_Joint,5.051269537805683e-222
Interface_Average_Difference_Polarity_Scores_Joint,1.742922116339683e-219
Domain_Average_Sum_Blosum_Matching_Scores_Pair_1,2.865514985375736e-219
