Column,P-Value
Interface_Average_Sum_Blosum_Positive_Scores_Joint,1.1111725418501916e-09
Interface_Sum_Blosum_Positive_Scores_Joint,1.6087580394341575e-09
Interface_Difference_Sheet_Count_Pair_1,1.8033372893275187e-09
Special-Sites_Non-Matching-Gap_Percent_Pair_1,2.6260061011014246e-09
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,5.053133544927779e-09
Interface_Sum_Blosum_Matching_Scores_Pair_1,6.044732822698669e-09
Interface_Sum_Blosum_Matching_Scores_Joint,6.601036279455144e-09
Interface_Average_Difference_Polarity_Scores_Joint,8.77821331119481e-09
Special-Sites_Non-Matching-Gap_Count_Pair_1,9.604548333262644e-09
Interface_Overlapping_Special-Sites_Count_Pair_1,1.4236458667773649e-08
Domain_Matching_Count_Joint,1.6186626341485725e-08
Interface_Overlapping_Special-Sites_Percent_Pair_1,1.660376520627346e-08
Interface_Average_Sum_Blosum_Positive_Scores_Pair_1,1.86179725203183e-08
Blast_Identical_Percent_Pair_1,2.8646723043855478e-08
Global_Non-Matching-Gap_Count_Joint,3.3077546074846334e-08
Interface_Matching_Count_Joint,3.838442869976343e-08
Interface_Overlapping_Special-Sites_Count_Pair_2,4.9801932051613936e-08
Global_Sum_Blosum_Matching_Scores_Pair_1,6.497162100481011e-08
Interface_Matching_Count_Pair_1,9.3433852578689e-08
Global_Non-Matching-Gap_Percent_Pair_1,1.5922662603936093e-07
Interface_Average_Difference_Volume_Buried_Residue_Scores_Joint,2.1204052798821443e-07
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,2.2861351048831887e-07
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,2.6311164817895114e-07
Interface_Overlapping_Special-Sites_Percent_Pair_2,2.8931517272178574e-07
Interface_Difference_Sheet_Count_Pair_2,3.0205236253770586e-07
Special-Sites_Non-Matching-Gap_Percent_Pair_2,4.065377204079806e-07
Global_Score_Pair_1,4.228988793561006e-07
Interface_Average_Difference_Sheet_Percent_Pair_2,4.497390490354989e-07
Special-Sites_Non-Matching-Gap_Count_Pair_2,5.869628770332348e-07
Interface_Average_Sum_Blosum_Matching_Scores_Joint,6.896172738879885e-07
Global_Sum_Blosum_Positive_Scores_Pair_1,8.203106128383034e-07
Domain_Matching_Count_Pair_1,8.655581487381769e-07
